year;0;1;2;3;4;5;6;7;8;9;10;11
1975;21.6;27.1;34.1;24.7;36.9;39.9;54.6;51.2;61.3;53.7;67.2;57.1
1976;29.4;26.1;33;42.5;51.6;42.9;26.6;24.3;24.6;51.7;36.9;21.7
1977;14.9;12.2;12.4;20.4;29.1;34.3;31.6;36.3;28.9;38.2;43.9;22.3
1978;14.9;13.4;22.2;48;33.9;42.3;31.4;23.2;30.6;40.1;44.1;33.3
1979;17.1;16.6;22.5;30.9;30.1;34.1;19.5;20.9;33.4;46.2;57.4;29.5
1980;21.1;20.3;14.8;23.8;27.5;35.1;26.2;24.8;27.8;42.6;38.8;31.2
1981;19.8;16.3;24.1;33.9;60.1;50.9;46.5;32.8;44.6;53.5;47.4;36.1
1982;35.9;39.8;35.5;56.8;64.2;41.8;31.9;27.1;29.4;45.1;37.3;33.5
1983;18.7;16.8;23.9;33.9;41.1;24.7;36.2;30;37.3;37.1;39;41.4
1984;31.4;30.8;19.8;24.9;44.4;44.5;41.3;38.8;50;65.1;57.5;36.6
1985;24.6;20.8;25.6;30.6;41;29.8;25.3;41.9;54.8;47.4;40.5;30.8
1986;24.4;29.5;24.9;42.7;32.6;40.2;26.4;23.4;23.9;52.4;37.2;23.9
1987;17.9;15.8;14.9;18.3;34;16.9;20.6;24.55;33.9;46.6;30.4;25.4
1988;15.6;15.8;11.5;23.6;25.9;29;28.4;48.94;51.12;54.45;62.05;49.07
1989;37.49;31.17;30.7;28.8;41.4;35.1;26.4;32.4;43.3;45.3;42.5;27.5
1990;23.1;25.5;24.2;33.5;36.4;28.9;25.1;19.8;27.6;55;35;24.8
1991;21.26;14.53;24.6;24.8;35.2;28.2;26.8;26;21.11;37.1;38.8;30.5
1992;17;16.6;19.3;17.3;25.86;19.82;18.98;22.74;28.18;22.6;26.6;31.12
1993;21.76;13.21;16.56;25.5;40;17.2;22.8;23.7;40.5;42.06;51;42.7
1994;22.33;25.02;33.93;41.49;35.93;35.35;26.99;32.63;29.57;40.05;44.66;23.81
1995;16.76;13.83;16.45;21.15;30.35;33.23;36.97;51.66;40.29;48.78;40;42.97
1996;29.8;29.11;47.65;37.43;59.07;59.11;68.09;41.1;36.65;46.04;40.07;27.13
1997;26.34;25.1;21.97;32.21;23.48;30.57;16.67;12.96;15.68;14.99;24.86;14.5
1998;10.87;10.7;12.93;27.64;33.93;31.56;38.1;31.22;48.61;40.03;40.03;42.43
1999;35.6;39.3;49.3;48.3;47;48.2;36.4;37.5;56.6;52.1;44.8;47.5
2000;28.5;31;29.1;33.8;45.6;47.1;42.6;41.9;56.1;40.9;38.7;27.9
2001;21.99;18.03;27.16;21.95;32.56;36.73;31.92;19.53;29.38;32.35;41.99;32.67
2002;20.22;16.35;19.49;30.45;32.28;39.79;20.29;16.8;15.66;22.15;23.47;27.4
2003;13.38;15.22;17.15;28.46;32.47;39.34;21.83;22.72;25.97;34.96;35.66;31.38
2004;22.74;17.47;17.05;20.9;31.66;25.12;36.88;23.07;35.86;34.36;44.06;28.48
2005;20.84;16.36;14.32;22.81;36.58;30.48;22.33;18.65;22.32;41.41;44.9;27.81
2006;23;17.99;26.82;39.91;59.22;45.25;24.73;25.26;33.86;34.16;54.21;35.86
2007;22.86;16.34;21.91;43.13;53.76;51.37;31.41;40.7;40.06;57.49;55.34;37.83
2008;26.12;26.92;31.65;31.88;44.78;56.07;59.21;53.85;48.94;57.07;63.24;34.09
2009;32.79;27.36;44.65;32.36;40.56;36.9;30.98;26.48;20.18;26.22;35.48;19.04
2010;13.36;11.64;11.23;20.62;30.49;44.59;55;47.09;70.69;58.52;81.14;62.69
2011;28.12;28.72;36.02;73.95;51.96;49.93;48.02;47.43;41.53;57;55.08;49.4
2012;32.65;22.77;28.2;49.25;48.55;31.56;28.79;36.43;21.51;35.93;28.55;23.3
2013;14.43;16.15;17.2;22.44;40.33;30.3;20.89;30.97;29.76;27.55;37.03;30.65
2014;20.73;22.36;25.88;24.23;30.74;25.51;18.99;20.96;20.35;34.04;42.1;26.4
2015;15.77;17.03;16.34;25.47;18.1;19.02;25.5;19.48;15.71;17.4;22.73;13.13
2016;10.87;9.68;10.7;15.94;21.29;19.18;22.44;19.06;24.77;25.14;41.56;22.98
2017;22.95;14.66;27.64;24.73;45.12;35.39;23.67;21.35;28.55;32.11;34.81;25.05
2018;24.12;17.25;16.96;33.93;57.37;35.57;25.2;22.17;33.26;46.73;49.14;20.09
2019;16.04;15.52;19;36.01;43.36;23.31;26.48;16.91;21.4;33.47;33.16;22.38
